"Source:","C:\Users\Johannes\Google Drive\Elektronikprojekte\SprinklerBoardESP32V3\SprinklerBoardESP32V3.kicad_sch"
"Date:","07.07.2023 16:58:54"
"Tool:","Eeschema (6.0.10)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","70"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","AVAILABILITY","Arrow Part Number","Arrow Price/Stock","DESCRIPTION","Datasheet_1","Footprint_1","Height","LCSC Part #","LCSC Part#","MF","MP","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","PACKAGE","PRICE","Reference_1","Value_1"
"11","1","IC1","ESP32-C6-WROOM-1-N8","ESP32-C6-WROOM-1-N8:ESP32-C6-WROOM-1-N8","ESP32-C6:ESP32C6WROOM1N8","","","","","","https://www.espressif.com/sites/default/files/documentation/esp32-c6-wroom-1_datasheet_en.pdf","ESP32C6WROOM1N8","3.25","","","","","Espressif Systems","ESP32-C6-WROOM-1-N8","356-ESP32C6WROOM1N8","https://www.mouser.co.uk/ProductDetail/Espressif-Systems/ESP32-C6-WROOM-1-N8?qs=8Wlm6%252BaMh8ST02Gmwp74cw%3D%3D","","","IC","ESP32-C6-WROOM-1-N8"
"12","1","J1","Conn_01x10_Female","Connector:Conn_01x10_Female","Connector_PinHeader_2.00mm:PinHeader_2x05_P2.00mm_Vertical_SMD","~","","","","","","","","","","","","","","","","","","",""
"13","1","J2","JTAG","Connector:Conn_01x04_Female","Connector_PinHeader_2.00mm:PinHeader_1x04_P2.00mm_Vertical","~","","","","","","","","","","","","","","","","","","",""
"14","1","J3","USB-Tag","838-22-006-10-001101:USB-Tag","USB-Tag:USB-Tag_6pol","","","","","","","","","","","","","","","","","","","",""
"15","1","J4","Conn_01x03_Male","Connector:Conn_01x03_Male","Connector_JST:JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical","~","","","","","","","","","","","","","","","","","","",""
"16","2","J5, J6","Conn_01x05_Female","Connector:Conn_01x05_Female","Connector_PinSocket_2.54mm:PinSocket_1x05_P2.54mm_Vertical","~","","","","","","","","","","","","","","","","","","",""
"17","1","J7","Conn_01x04_Female","Connector:Conn_01x04_Female","Connector_JST:JST_PH_B4B-PH-SM4-TB_1x04-1MP_P2.00mm_Vertical","~","","","","","","","","","","","","","","","","","","",""
"18","1","J8","Conn_01x04_Female","Connector:Conn_01x04_Female","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~","","","","","","","","","","","","","","","","","","",""
"19","2","K1, K2","G3VM-62J1","G3VM-62J1:G3VM-62J1","J-SOP8_OMR","","","","","","","","","C726024","","","","","","","","","","",""
"20","4","R1, R2, R3, R4","10k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","C25744","","","","","","","","","","",""
"21","5","R5, R6, R7, R8, R9","330R","Device:R","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","C25104","","","","","","","","","","",""
"22","9","R10, R13, R14, R15, R16, R17, R18, R19, R20","1k","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","C11702","","","","","","","","","","",""
"23","2","R11, R12","10","Device:R_Small","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","C25077","","","","","","","","","","",""
"24","8","T1, T2, T3, T4, T5, T6, T7, T8","725996-2","725996-2:725996-2","725996:7259962","","","725996-2","https://www.arrow.com/en/products/725996-2/te-connectivity","","http://www.te.com/commerce/DocumentDelivery/DDEController?Action=showdoc&DocId=Catalog+Section%7F82159_PCB_TERMINALS_AND_DISCONNECTS%7F1207%7Fpdf%7FEnglish%7FENG_CS_82159_PCB_TERMINALS_AND_DISCONNECTS_1207.pdf%7F725996-2","7259962","8","","","","","TE Connectivity","725996-2","571-725996-2","https://www.mouser.co.uk/ProductDetail/TE-Connectivity-AMP/725996-2?qs=qCxwlXJ4fnwSyI%252Bf7tGybA%3D%3D","","","U","725996-2"
"25","1","U1","TSR_1-2433","Regulator_Switching:TSR_1-2450","Converter_DCDC:Converter_DCDC_TRACO_TSR-1_THT","http://www.tracopower.com/products/tsr1.pdf","","","","","","","","","","","","","","","","","","",""
"26","1","U2","MAX3485","Interface_UART:MAX3485","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://datasheets.maximintegrated.com/en/ds/MAX3483-MAX3491.pdf","","","","","","","","C18148","","","","","","","","","","",""
